Marca de Tiempo,Uso de Memoria(%)
20:34:26,84.2
20:34:27,84.2
20:34:28,85.1
20:34:29,84.5
20:34:30,84.4
20:34:31,84.3
20:34:32,84.3
20:34:33,84.3
20:34:34,84.3
20:34:35,84.3
20:34:36,84.3
20:34:37,84.3
20:34:38,84.3
20:34:39,84.2
20:34:40,84.2
20:34:41,84.2
20:34:42,84.2
20:34:43,84.3
20:34:44,85.0
20:34:45,84.5
20:34:46,84.4
20:34:47,84.3
20:34:48,84.3
20:34:49,84.4
20:34:50,84.4
20:34:51,84.4
20:34:52,84.3
20:34:53,84.3
20:34:54,84.3
20:34:55,84.4
20:34:56,84.4
20:34:57,84.3
20:34:58,84.3
20:34:59,84.3
20:35:00,85.1
20:35:01,85.5
20:35:02,86.8
20:35:03,86.8
20:35:04,86.9
20:35:05,86.9
20:35:06,86.9
20:35:07,86.9
20:35:08,86.9
20:35:09,86.8
20:35:10,86.8
20:35:11,86.9
20:35:12,86.8
20:35:13,86.9
20:35:14,86.9
20:35:15,86.9
20:35:16,87.4
20:35:17,86.9
20:35:18,87.2
20:35:19,87.1
20:35:20,87.1
20:35:21,87.0
20:35:22,87.0
20:35:23,87.0
20:35:24,85.2
20:35:25,84.0
20:35:26,84.0
20:35:27,84.0
20:35:28,84.1
20:35:29,84.0
20:35:30,84.0
20:35:31,84.1
20:35:32,84.7
20:35:33,84.3
20:35:34,84.3
20:35:35,84.1
20:35:36,84.2
20:35:37,84.1
20:35:38,84.1
20:35:39,84.1
20:35:40,84.1
20:35:41,84.1
20:35:42,84.1
20:35:43,84.1
20:35:44,84.1
20:35:45,84.1
20:35:46,84.2
20:35:47,84.2
20:35:48,84.9
20:35:49,84.4
20:35:50,84.3
20:35:51,84.3
20:35:52,84.1
20:35:53,84.0
20:35:54,84.0
20:35:55,83.9
20:35:56,83.9
20:35:57,83.9
20:35:58,83.9
20:35:59,83.7
20:36:00,83.8
20:36:01,83.8
20:36:02,83.0
20:36:03,83.0
20:36:04,83.9
20:36:05,83.0
20:36:06,83.0
20:36:07,83.0
20:36:08,82.8
20:36:09,82.8
20:36:10,82.7
20:36:11,82.7
20:36:12,82.7
20:36:13,82.8
20:36:14,82.8
20:36:15,82.8
20:36:16,82.8
20:36:17,82.7
20:36:18,82.7
20:36:19,82.7
20:36:20,83.6
20:36:21,83.2
20:36:22,83.8
20:36:23,83.7
20:36:24,83.8
20:36:25,83.8
20:36:26,84.1
20:36:27,84.5
20:36:28,84.6
20:36:29,84.6
20:36:30,84.6
20:36:31,84.7
20:36:32,84.7
20:36:33,84.6
20:36:34,84.6
20:36:35,84.6
20:36:36,84.3
20:36:37,84.1
20:36:38,84.5
20:36:39,84.4
20:36:40,84.4
20:36:41,84.2
20:36:42,84.2
20:36:43,84.1
20:36:44,84.1
20:36:45,84.1
20:36:46,84.0
20:36:47,84.3
20:36:48,84.3
20:36:49,84.3
20:36:50,84.2
20:36:51,84.2
20:36:52,84.8
20:36:53,84.3
20:36:54,84.1
20:36:55,84.1
20:36:56,84.1
20:36:57,84.1
20:36:58,84.0
20:36:59,84.0
20:37:00,83.9
20:37:01,83.8
20:37:02,83.9
20:37:03,83.8
20:37:04,83.8
20:37:05,83.9
20:37:06,83.9
20:37:07,84.0
20:37:08,84.7
20:37:09,84.1
20:37:10,84.0
20:37:11,83.9
20:37:12,83.9
20:37:13,83.9
20:37:14,83.8
20:37:15,83.8
20:37:16,83.7
20:37:17,83.7
20:37:18,83.5
20:37:19,83.5
20:37:20,83.5
20:37:21,83.4
20:37:22,83.5
20:37:23,83.4
20:37:24,84.3
20:37:25,83.6
20:37:26,83.7
20:37:27,84.1
20:37:28,84.0
20:37:29,84.0
20:37:30,84.0
20:37:31,84.1
20:37:32,84.2
20:37:33,84.2
20:37:34,84.0
20:37:35,84.0
20:37:36,84.0
20:37:37,84.0
20:37:38,83.9
20:37:39,84.0
20:37:40,84.7
20:37:41,83.9
20:37:42,83.9
20:37:43,83.6
20:37:44,83.7
20:37:45,83.6
20:37:46,83.5
20:37:47,83.6
20:37:48,83.6
20:37:49,83.6
20:37:50,83.5
20:37:51,83.5
20:37:52,83.5
20:37:53,83.5
20:37:54,83.5
20:37:55,83.5
20:37:56,84.4
20:37:57,83.7
20:37:58,83.6
20:37:59,83.6
20:38:00,83.6
20:38:01,83.6
20:38:02,83.5
20:38:03,83.5
20:38:04,83.6
20:38:05,83.5
20:38:06,83.6
20:38:07,83.5
20:38:08,83.9
20:38:09,84.3
20:38:10,84.6
20:38:11,85.4
20:38:12,86.2
20:38:13,86.7
20:38:14,87.7
20:38:15,88.2
20:38:16,88.6
20:38:17,88.8
20:38:18,88.6
20:38:19,88.3
20:38:21,88.1
20:38:22,86.2
20:38:23,86.2
20:38:24,86.1
20:38:25,86.0
20:38:26,85.6
20:38:27,85.6
20:38:28,85.5
20:38:29,86.1
20:38:30,85.3
20:38:31,85.2
20:38:32,85.1
20:38:33,85.1
